Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Pips,Gain,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(AUD),Min(pips),Min(AUD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(AUD)
05/17/2022 15:30,05/17/2022 20:16,AUDUSD,Buy,0.030,0.69005,0.71405,0.70206,0.70224,1.8,0.03,00:04:45:47,27.0,1h 17m,37.8,1.70,14.0,,-23.8,,37.0,67.7,-12.20,
05/17/2022 16:48,05/17/2022 18:13,GBPUSD,Buy,0.030,1.23300,1.25700,1.24499,1.24827,32.8,0.61,00:01:24:50,100.0,1h 24m,21.9,0.03,32.8,,0.0,,100.0,100.0,0.00,
05/17/2022 10:53,05/17/2022 14:43,XAUUSD,Buy,0.030,1811.84000,1835.84000,1823.84000,1835.86000,1202.0,2.28,00:03:50:01,99.6,3h 49m,328.0,0.03,1202.0,,-31.0,,97.5,100.0,0.00,
05/17/2022 14:00,05/17/2022 14:20,EURUSD,Buy,0.030,1.03957,1.06357,1.05156,1.05331,17.5,0.33,00:00:20:40,95.0,19m,2.6,0.06,17.6,,0.0,,100.0,99.4,-0.10,
05/17/2022 04:07,05/17/2022 08:45,XAUUSD,Buy,0.030,1810.91000,1834.91000,1822.88000,1826.99000,411.0,0.79,00:04:38:01,91.1,4h 13m,592.0,0.17,505.0,,-87.0,,85.3,84.1,-94.00,
05/13/2022 10:00,05/13/2022 13:15,XAUUSD,Sell,0.030,1834.44000,1810.44000,1822.62000,1820.47000,215.0,0.42,00:03:15:02,27.7,54m,606.0,2.39,254.0,,-606.0,,29.5,95.5,-39.00,
05/13/2022 10:00,05/13/2022 12:04,EURJPY,Sell,0.040,134.93800,132.53800,133.74200,133.90700,-16.5,-0.35,00:02:04:45,17.0,21m,70.8,2.47,20.4,,-50.4,,28.8,47.9,-36.90,
05/13/2022 09:53,05/13/2022 10:58,EURUSD,Sell,0.030,1.05246,1.02846,1.04057,1.04190,-13.3,-0.27,00:01:04:11,69.3,44m,33.4,0.66,20.1,,-13.3,,60.2,0.0,-33.40,
05/12/2022 13:08,05/13/2022 06:22,GBPUSD,Sell,0.030,1.23233,1.20833,1.22035,1.22269,-23.4,-0.47,00:17:14:19,49.3,8h 29m,51.9,1.25,28.5,,-35.5,,44.5,18.9,-51.90,
05/12/2022 21:20,05/13/2022 03:15,EURJPY,Sell,0.040,134.33500,131.93500,133.13600,133.22000,-8.4,-0.18,00:05:54:26,,,,,,,,,,,,
05/12/2022 18:11,05/13/2022 03:03,EURUSD,Sell,0.030,1.05449,1.03049,1.04247,1.03737,51.0,1.01,00:08:52:18,100.0,8h 52m,28.8,0.01,69.8,,0.0,,100.0,73.1,-18.80,
05/12/2022 13:29,05/12/2022 20:32,AUDUSD,Sell,0.030,0.70070,0.67670,0.68871,0.68450,42.1,0.83,00:07:02:59,99.1,6h 59m,48.2,0.12,43.1,,-5.1,,89.4,97.9,-1.00,
05/12/2022 11:00,05/12/2022 14:27,EURUSD,Sell,0.030,1.05795,1.03395,1.04601,1.04194,40.7,0.81,00:03:27:16,98.1,3h 23m,20.5,0.08,40.7,,-3.1,,92.9,100.0,0.00,
05/12/2022 11:00,05/12/2022 14:21,EURJPY,Sell,0.040,135.96000,133.56000,134.78500,134.13100,65.4,1.37,00:03:21:56,100.0,3h 21m,43.6,0.01,74.4,,0.0,,100.0,87.9,-9.00,
05/11/2022 17:00,05/11/2022 20:00,AUDUSD,Buy,0.030,0.69197,0.71597,0.70397,0.69557,-84.0,-1.67,00:02:59:59,0.0,0s,85.4,85.47,0.0,,-85.4,,0.0,1.6,-84.00,
05/11/2022 16:00,05/11/2022 16:25,GBPUSD,Sell,0.030,1.24074,1.21674,1.22871,1.23635,-76.4,-1.49,00:00:25:27,0.0,0s,100.9,101.01,0.0,,-100.9,,0.0,24.3,-76.40,
05/11/2022 04:42,05/11/2022 10:10,XAUUSD,Sell,0.030,1846.98000,1822.98000,1834.97000,1847.00000,-1203.0,-2.29,00:05:28:10,0.0,0s,1219.0,1250.00,0.0,,-1219.0,,0.0,1.3,-1203.00,
05/10/2022 02:20,05/10/2022 03:14,AUDUSD,Sell,0.030,0.70767,0.68367,0.69567,0.69411,15.6,0.29,00:00:54:44,59.3,32m,11.1,0.37,16.0,,-5.9,,73.1,98.2,-0.40,
05/09/2022 10:00,05/09/2022 16:10,EURJPY,Buy,0.040,136.67600,139.07600,137.83400,137.83300,-0.1,-0.01,00:06:10:45,87.1,5h 22m,45.8,0.22,45.7,,-10.2,,81.8,18.1,-45.80,
05/06/2022 13:09,05/06/2022 19:00,GBPUSD,Sell,0.030,1.24706,1.22306,1.23510,1.23448,6.2,0.11,00:05:50:59,58.0,3h 23m,64.7,0.60,47.3,,-28.3,,62.6,45.6,-41.10,
05/06/2022 11:32,05/06/2022 15:40,XAUUSD,Sell,0.030,1890.60000,1866.60000,1878.64000,1890.12000,-1148.0,-2.10,00:04:07:52,0.0,0s,1148.0,1250.00,0.0,,-1148.0,,0.0,0.0,-1148.00,
05/06/2022 11:32,05/06/2022 15:36,AUDUSD,Sell,0.030,0.72248,0.69848,0.71053,0.71273,-22.0,-0.41,00:04:04:19,95.1,3h 52m,47.3,0.97,24.0,,-23.3,,50.7,2.7,-46.00,
05/06/2022 05:34,05/06/2022 08:45,XAUUSD,Sell,0.030,1885.24000,1861.24000,1873.22000,1875.38000,-216.0,-0.40,00:03:10:57,4.2,8m,530.0,6.07,75.0,,-455.0,,14.2,45.1,-291.00,
05/05/2022 20:02,05/06/2022 04:34,EURUSD,Sell,0.030,1.06400,1.04000,1.05200,1.05243,-4.3,-0.08,00:08:31:42,21.5,1h 50m,47.2,1.84,16.6,,-30.6,,35.2,55.7,-20.90,
05/05/2022 22:32,05/06/2022 04:21,AUDUSD,Sell,0.030,0.72217,0.69817,0.71018,0.71056,-3.8,-0.08,00:05:49:30,0.3,1m,34.4,6.32,4.7,,-29.7,,13.7,75.3,-8.50,
05/05/2022 15:00,05/06/2022 04:21,GBPUSD,Sell,0.030,1.25141,1.22741,1.23935,1.23472,46.3,0.83,00:13:21:21,94.2,12h 34m,53.8,0.26,68.1,,-17.6,,79.5,74.6,-21.80,
05/05/2022 13:42,05/05/2022 17:05,AUDUSD,Buy,0.030,0.70912,0.73312,0.72112,0.71519,-59.3,-1.07,00:03:22:39,6.9,13m,64.1,15.46,3.9,,-60.2,,6.1,1.4,-63.20,
05/04/2022 22:00,05/05/2022 13:00,AUDUSD,Buy,0.030,0.71100,0.73500,0.72301,0.72162,-13.9,-0.27,00:15:00:00,72.8,10h 55m,60.7,0.75,34.6,,-26.1,,57.0,20.1,-48.50,
05/05/2022 08:57,05/05/2022 12:50,XAUUSD,Buy,0.030,1887.08000,1911.08000,1899.39000,1896.45000,-294.0,-0.53,00:03:53:13,8.6,20m,1241.0,3.79,259.0,,-982.0,,20.9,55.4,-553.00,
05/04/2022 22:00,05/05/2022 03:24,EURUSD,Buy,0.030,1.04955,1.07355,1.06140,1.06276,13.6,0.20,00:05:24:06,59.3,3h 12m,34.8,1.80,16.1,,-28.9,,35.8,94.4,-2.50,
05/04/2022 22:00,05/05/2022 02:11,XAUUSD,Buy,0.030,1873.94000,1897.94000,1887.12000,1884.93000,-219.0,-0.41,00:04:11:51,2.4,6m,808.0,2.61,224.0,,-584.0,,27.7,45.2,-443.00,
05/04/2022 09:53,05/04/2022 16:50,GBPUSD,Sell,0.030,1.26082,1.23682,1.24882,1.24927,-4.5,-0.09,00:06:56:58,1.2,5m,51.7,14.68,3.3,,-48.4,,6.4,84.9,-7.80,
05/03/2022 12:22,05/03/2022 16:35,XAUUSD,Sell,0.030,1868.73000,1844.73000,1856.82000,1868.73000,-1191.0,-2.09,00:04:13:32,7.6,19m,1354.0,7.31,163.0,,-1191.0,,12.0,0.0,-1354.00,
05/03/2022 01:12,05/03/2022 07:58,GBPUSD,Sell,0.030,1.26144,1.23744,1.24944,1.25125,-18.1,-0.32,00:06:45:52,7.9,32m,48.7,17.06,2.7,,-46.0,,5.5,57.3,-20.80,
05/03/2022 03:05,05/03/2022 04:41,XAUUSD,Sell,0.030,1876.62000,1852.62000,1864.76000,1861.52000,324.0,0.56,00:01:35:29,48.0,45m,261.0,0.47,433.0,,-205.0,,67.9,82.9,-109.00,
04/29/2022 15:30,04/29/2022 18:26,AUDUSD,Buy,0.030,0.70358,0.72758,0.71559,0.70940,-61.9,-1.09,00:02:56:49,38.1,1h 7m,77.1,4.07,15.2,,-61.9,,19.7,0.0,-77.10,
04/29/2022 14:51,04/29/2022 17:47,GBPUSD,Buy,0.030,1.24209,1.26609,1.25411,1.25634,22.3,0.38,00:02:55:48,77.3,2h 15m,34.2,0.44,23.8,,-10.4,,69.6,95.6,-1.50,
04/29/2022 15:25,04/29/2022 17:41,XAUUSD,Buy,0.030,1900.13000,1924.13000,1912.22000,1913.67000,145.0,0.25,00:02:16:34,11.8,16m,1067.0,6.50,145.0,,-942.0,,13.3,100.0,0.00,
